feature_value_1,feature_value_2,class
1,0.22890712464330043,1
0,6.757775825866161,2
1,-0.2303007864608505,1
1,2.907482035996666,2
1,0.12840885990884104,1
1,0.46591956855292405,1
0,0.531258336408112,1
0,3.2990253720705995,2
1,-0.17300131386790496,1
0,3.2573473670126214,2
1,0.7982205896302892,1
1,0.26594940957166135,1
1,1.244104774579284,2
1,4.310423504763829,2
1,1.6368974084842909,1
0,-2.2183880755133885,2
1,0.39629321780216276,1
1,5.735755442430643,2
0,1.9260904487291972,2
1,0.1920477506123477,1
0,3.68673999752637,2
0,4.149310520079952,2
1,2.5979184347775313,2
0,0.2862597931137256,2
1,0.09475540789007297,2
0,-0.8179612543560011,2
0,2.2716229431330364,2
0,1.4226309816643687,2
1,2.987589366843639,2
1,3.362762610524358,2
1,-1.2941321401308334,2
1,-0.8368846364486262,2
0,1.47018633647527,2
1,0.49452953243496756,1
1,1.1302771288496858,1
1,0.8590631213697902,2
1,0.24742980369309725,1
0,0.8596294598999301,1
0,0.6510380574659947,1
0,1.7746428444830296,2
0,2.256131030976387,2
0,1.1154991097205693,1
0,-0.27010086366096886,1
0,1.1390732038210558,2
1,1.0776125462488166,1
1,0.05946779667187635,1
1,0.8791598408947823,1
1,1.988177820481743,2
0,0.2939751098478117,1
1,0.46211476943382407,1
0,0.0455787587004543,1
1,3.7970943161288395,2
1,0.647388607223222,1
1,-1.4725786882053602,2
1,2.3819245911258573,2
0,1.4878581819363461,2
1,1.0420709236911985,1
0,2.646558111898699,2
0,-1.95709251773815,2
1,0.8761536813738984,1
1,0.5967871994656003,1
0,0.4508080552923327,1
1,0.9306447983459258,1
1,4.793051698053379,2
0,3.137485116690963,2
1,0.6369355848385709,1
0,2.236327409348518,2
1,3.62847078565867,2
1,0.09860716310028217,1
1,4.9839137558535835,2
1,0.7455710831777713,1
1,4.193414557405067,2
0,3.957728294735842,2
1,-0.550462713880769,1
0,1.2999199657608347,1
1,-0.008041850169293152,2
1,1.397605520209551,1
0,-2.98754890556014,2
1,2.1865617857071085,2
1,0.7225624327664426,2
1,0.8298002209349958,1
0,0.6504088195855033,1
1,0.1216469340035336,1
1,0.6263358890411316,1
1,0.9687026560261895,1
0,2.650877430277267,2
0,3.549794501600523,2
1,0.8222745071003238,1
1,0.742256213082295,1
0,0.26971108335505534,2
1,2.7242170507861228,2
1,2.511309526250832,2
0,4.181709223271269,2
0,1.1750569925240208,1
0,2.1695373160783267,2
0,4.187261575805867,2
1,-0.1890638177184929,2
1,0.6320093397159599,2
1,0.8615640998916625,1
1,0.8082021745201766,2
1,0.9034439994533294,1
1,0.6309517438478259,1
1,-0.28154841388055263,2
0,-2.8406254915011138,2
1,0.19071949040633435,1
0,-1.0851548754882945,2
1,0.07606340841107345,1
1,6.056259637500498,2
1,0.1857524811740136,1
0,2.5962990296566986,2
0,-0.32376872362188824,2
1,0.5457727475675769,1
1,2.154290236304396,2
1,-0.22191309897331513,1
1,0.7039498171601762,1
1,0.5783449251343239,1
1,0.9313103734817145,1
1,1.825465781950418,2
1,-2.9603610245066667,2
1,0.6506415369464449,1
1,-0.7721355826385943,2
0,0.3926780206335043,2
0,4.157363269500884,2
0,1.8409616293642574,2
0,0.689033243096904,1
1,2.541193873187515,2
1,0.8717494604326366,1
0,3.5494093379080858,2
1,0.8325015544900756,1
0,-1.5198532116116268,2
0,1.238047916292803,2
1,1.109075720647879,1
1,0.7424728912641536,1
0,3.529455443117873,2
1,2.6961125157698715,2
0,0.13610979982524762,2
0,-0.9873963386272333,2
1,-0.11053981829045523,1
1,1.1579476638295563,2
1,0.15527377748467375,1
0,1.2577158175766654,2
0,0.9131879358468245,1
1,3.035408611771896,2
0,4.172206605039554,2
1,3.3250722700094233,2
0,3.0600153776205605,2
0,-0.18766502621645864,1
1,0.9450494313699014,1
1,0.5056278585640127,1
1,1.1369754787837556,1
1,0.11485521242702185,1
0,0.32420921638722866,1
1,1.7195402036230945,2
0,1.031809063191293,2
0,0.6361240849644817,1
1,0.6236800928777375,1
0,1.272911341815547,2
0,-0.6989091240964265,2
0,1.543604669015889,2
0,1.9127234921490377,2
1,0.018974513394887926,1
1,-1.0968086041455751,2
1,0.5645191004013473,1
0,-0.5525145543250867,2
1,-1.2609811038678256,2
1,0.26028250274442083,1
1,5.281477451315912,2
1,-0.5270552936592261,2
0,4.459215486908571,2
1,0.7860759508452055,1
0,-0.19667484327099927,2
1,2.35689218208796,2
0,1.7220248511585219,2
0,0.0916104917513696,1
1,0.7394051493871842,1
0,3.0314063549497643,2
1,1.2103519907894316,2
1,-0.6125255220781611,1
1,4.951634945040711,2
1,4.130780409132713,2
0,2.6292875405479377,2
0,0.23531989621198557,1
1,4.823239494785882,2
0,1.3358033042761417,2
0,0.18957804343251405,2
0,0.5028239287392465,2
0,1.369256291898247,2
1,0.623007388702337,2
1,0.42934400849597226,1
0,5.287341659122777,2
0,2.6399415399261046,2
1,0.558315994695395,1
0,0.1636144077350956,2
0,-0.13937024642071605,2
0,4.608665191691534,2
1,1.0834820515914412,1
0,0.5711373694603272,1
1,0.5268846055094212,1
1,0.2809417043426279,2
1,-0.11764990955220567,2
1,2.252444882080702,2
1,2.1351789811255797,2
1,1.2350721500099182,2
1,-0.4559035216426137,1
1,0.42290880003915826,1
0,0.4602637324843599,2
1,3.405927492847484,2
0,1.963580144892438,2
1,0.3008745134814358,1
1,0.42412483533751966,1
1,1.9342093181555344,2
1,-0.07700872284304283,1
0,0.9450482102976717,2
0,2.108199870738284,2
1,-0.6331599417995974,2
1,0.7201711860727315,1
0,3.207369636149033,2
1,2.949120084466453,2
0,-1.0546944236461,2
1,-0.6892830302392294,2
1,0.6667772915724917,1
1,-0.11540977229831362,1
1,0.16677447554981462,2
0,0.3261503525263867,1
0,-1.3352114347024235,2
1,1.5629582068531729,2
0,0.3364540092026975,2
1,0.875422723530693,1
1,-0.33145056849006727,1
0,0.10937044092063358,1
1,-0.21746674743618355,1
1,0.4178541645593703,2
1,0.6396660616687849,1
1,0.1339009339274247,1
0,4.19999185292486,2
1,0.46926168004730934,1
1,0.357179295253339,1
1,1.0497447496335615,1
1,2.005589621377676,2
1,-1.1347315072801298,2
1,5.77182008120914,2
0,6.827012467464721,2
1,2.0873255911335806,2
0,-0.7479390030636237,2
1,-1.7294430750057481,2
0,1.9818202615882792,2
0,0.06907874060057773,1
0,0.12701425504311942,1
1,-0.06964953008949859,2
1,-1.6706657427701872,2
0,-0.32121759025277963,2
0,0.793260860901065,1
0,4.918563253322896,2
0,0.33459533910892125,1
0,2.4370093293257247,2
1,1.3301506446660003,2
0,-0.38807589893739625,1
0,0.4578994493039695,1
1,0.2845741902912872,1
1,0.9438329446111476,1
1,0.37319800459026803,1
0,0.9129022608539682,2
0,-1.5524560520585027,2
1,4.358946055978349,2
0,0.4477455323851036,2
1,1.145211940042555,2
1,1.259044219987842,1
1,0.7147204959401182,2
1,-0.010009233369373982,2
0,2.717894953190003,2
1,0.8875920548047582,1
1,-0.14709445488318407,2
0,-0.04799648137324497,1
1,0.1745070849958943,1
1,1.6877647668670883,1
1,-1.2558387896276773,2
0,1.8863326775381422,2
1,3.2813006532908116,2
0,-0.06015766052404592,2
1,0.31667214000798205,1
1,0.19661219984227685,1
1,1.2748863410653146,1
1,-0.7435097461801843,2
1,1.295056661193443,2
1,-0.19777099957522504,1
0,0.9436010541697948,1
0,-1.1628318223898213,2
0,1.2664231958175804,2
1,-0.3079667299612845,1
1,-1.1588011207300242,2
1,1.4640606566010232,2
1,1.2340494095784162,1
0,4.587814255085215,2
0,3.376924205448455,2
1,0.6408157686175822,1
0,0.06449642528236088,1
1,0.15941905256395494,2
0,2.959983844727394,2
0,4.844851377018621,2
0,1.266707965333267,2
1,0.18465145752379103,1
0,-0.3805542164775805,1
1,0.36955994825975164,1
1,0.26058779745412486,1
1,0.3070579826435379,1
1,-0.49934715659891005,1
0,-1.388707480011575,2
0,0.3775628388280073,1
0,0.8974942867416766,1
1,2.176481173777646,2
1,0.5945959408798255,2
0,0.160303032629048,2
1,0.41171957606119847,1
0,1.6847759787897143,2
1,-0.22543514440479184,1
0,3.5853257247963177,2
1,0.5809768078736606,1
1,0.7000520335211483,1
1,1.06287624850891,1
1,-0.09648290077866861,1
1,-0.6183775851328464,2
1,0.10877402862838936,1
1,1.9654260566940969,2
1,1.2947121315899002,2
0,4.396422526004138,2
0,-1.9172804460274877,2
1,1.5985669754579188,1
1,4.12517112770991,2
0,1.3556812886534764,2
1,-2.9917478940737094,2
0,0.6705513580112346,1
0,1.4950472578235974,2
0,2.268882364290274,2
1,2.459611111619732,2
0,-1.451472821253211,2
0,0.3067747956459821,2
0,0.43565063648141555,1
0,3.0874082701543886,2
1,0.7489233308584626,1
0,3.0235411048387837,2
0,3.2940193113897593,2
1,1.046780329367849,1
0,1.7543818789400822,2
1,3.2389485904511512,2
1,1.2193189891858665,1
1,3.993882988950836,2
0,2.828653785138962,2
0,0.2541846097861358,2
1,1.2491456255059243,2
0,-0.21126367611396635,2
1,3.038341625202375,2
1,0.4717168233335277,1
1,0.9299462823550511,1
1,4.037453861499572,2
1,1.1660161402851013,1
0,1.0742800044280791,1
